Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
375,Mykola Matviyenko,ua UKR,DF,ua Shakhtar,26-165,1996,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1adcf39e
376,Eric Maxim Choupo-Moting,cm CMR,FWMF,de Bayern Munich,33-205,1989,1.0,1,2,1,50.0,2.00,1.00,0.50,1.00,10.5,0,0,0,0.6,0.6,0.29,+0.4,+0.4,Matches,0e6bc38c
377,Noussair Mazraoui,ma MAR,DF,de Bayern Munich,24-334,1997,2.8,0,2,1,50.0,0.72,0.36,0.00,0.00,17.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,b74277a0
378,Kylian Mbappé,fr FRA,FW,fr Paris S-G,23-298,1998,4.0,4,13,7,53.8,3.26,1.75,0.23,0.43,16.3,0,1,1,2.2,1.4,0.11,+1.8,+1.6,Matches,42fd9c7f
379,Chancel Mbemba,cd COD,DF,fr Marseille,28-067,1994,2.5,1,3,1,33.3,1.19,0.40,0.33,1.00,20.2,0,0,0,0.1,0.1,0.05,+0.9,+0.9,Matches,e76cb9cc
380,James McCarthy,ie IRL,MF,sct Celtic,31-336,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,64b08de7
381,Allan McGregor,sct SCO,GK,sct Rangers,40-256,1982,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f3a97d02
382,Callum McGregor,sct SCO,MF,sct Celtic,29-122,1993,2.4,0,2,0,0.0,0.83,0.00,0.00,,23.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,6800f515
383,Weston McKennie,us USA,MF,it Juventus,24-047,1998,3.0,1,2,1,50.0,0.67,0.33,0.50,1.00,11.9,0,0,0,0.1,0.1,0.06,+0.9,+0.9,Matches,01c3aff5
384,Jon McLaughlin,sct SCO,GK,sct Rangers,35-035,1987,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,3b0108d6
385,Brandon Mechele,be BEL,DF,be Club Brugge,29-259,1993,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0a6dbbf7
386,Bjorn Meijer,nl NED,DF,be Club Brugge,19-210,2003,3.1,0,1,0,0.0,0.32,0.00,0.00,,5.0,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches,95f5aae8
387,Arthur Melo,br BRA,MF,eng Liverpool,26-063,1996,0.2,0,1,0,0.0,6.43,0.00,0.00,,21.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,48b3dd60
388,Sun Menachem,il ISR,DF,il Maccabi Haifa,29-037,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a30e23de
389,Nuno Mendes,pt POR,DF,fr Paris S-G,20-117,2002,2.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f20e4cc9
390,Ferland Mendy,fr FRA,DF,es Real Madrid,27-128,1995,2.9,0,1,0,0.0,0.35,0.00,0.00,,24.2,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,3cefcaef
