Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
305,Manuel Riemann,de GER,GK,Bochum,34-036,1988,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9f941969
306,Sebastian Rode,de GER,MF,Eint Frankfurt,32-004,1990,4.2,2,2,2,100.0,0.47,0.47,1.00,1.00,13.2,0,0,0,0.1,0.1,0.07,+1.9,+1.9,Matches,e12b0b5b
307,Agustín Rogel,uy URU,DF,Hertha BSC,24-363,1997,1.5,0,1,0,0.0,0.67,0.00,0.00,,9.0,0,0,0,0.1,0.1,0.13,-0.1,-0.1,Matches,ea42c03f
308,Frederik Rønnow,dk DEN,GK,Union Berlin,30-072,1992,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a70b8345
309,Tom Rothe,de GER,DF,Dortmund,17-351,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,90c1f9a4
310,Sebastian Rudy,de GER,MF,Hoffenheim,32-229,1990,2.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,80f36c88
311,Georginio Rutter,fr FRA,FW,Hoffenheim,20-178,2002,7.4,1,18,9,50.0,2.44,1.22,0.06,0.11,16.2,0,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches,c64c01fc
312,Julian Ryerson,no NOR,DF,Union Berlin,24-332,1997,6.4,0,11,3,27.3,1.73,0.47,0.00,0.00,23.5,0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches,009a4f60
313,Marcel Sabitzer,at AUT,MF,Bayern Munich,28-212,1994,5.5,0,10,2,20.0,1.82,0.36,0.00,0.00,22.4,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches,e280527c
314,Roland Sallai,hu HUN,MFFW,Freiburg,25-146,1997,3.5,0,14,3,21.4,3.96,0.85,0.00,0.00,17.5,0,0,0,1.1,1.1,0.08,-1.1,-1.1,Matches,bf075f6b
315,Diadie Samassékou,ml MLI,MF,Hoffenheim,26-277,1996,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,08593525
316,Leroy Sané,de GER,FWMF,Bayern Munich,26-277,1996,6.9,4,32,15,46.9,4.66,2.18,0.13,0.27,18.3,2,0,0,3.4,3.4,0.11,+0.6,+0.6,Matches,2b114be3
317,Joe Scally,us USA,DF,M'Gladbach,19-288,2002,8.6,0,4,2,50.0,0.47,0.23,0.00,0.00,13.4,0,0,0,0.6,0.6,0.15,-0.6,-0.6,Matches,236f02cd
318,Kevin Schade,de GER,FW,Freiburg,20-322,2001,0.7,1,1,1,100.0,1.36,1.36,1.00,1.00,12.8,0,0,0,0.1,0.1,0.08,+0.9,+0.9,Matches,52afb588
319,András Schäfer,hu HUN,MF,Union Berlin,23-185,1999,5.2,0,3,0,0.0,0.58,0.00,0.00,,21.5,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,049751d7
320,Derry Scherhant,de GER,FW,Hertha BSC,19-339,2002,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,93cba339
321,Patrik Schick,cz CZE,FW,Leverkusen,26-264,1996,8.4,2,28,12,42.9,3.35,1.43,0.07,0.17,13.0,1,0,0,4.1,4.1,0.15,-2.1,-2.1,Matches,5d4f7d61
322,Kingsley Schindler,de GER,DFMF,Köln,29-095,1993,3.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,bd527260
323,Xaver Schlager,at AUT,MF,RB Leipzig,25-017,1997,3.2,0,1,0,0.0,0.31,0.00,0.00,,19.0,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,8f056768
324,Keven Schlotterbeck,de GER,DF,Freiburg,25-170,1997,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,f6bdc830
325,Nico Schlotterbeck,de GER,DF,Dortmund,22-318,1999,9.0,0,1,1,100.0,0.11,0.11,0.00,0.00,7.8,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches,34e12499
326,Romano Schmid,at AUT,MF,Werder Bremen,22-261,2000,5.5,0,3,0,0.0,0.55,0.00,0.00,,22.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,220ace7e
327,Niklas Schmidt,de GER,MF,Werder Bremen,24-228,1998,1.8,1,5,3,60.0,2.71,1.63,0.20,0.33,18.6,1,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches,b9ae8560
