Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
343,Jean Onana,cm CMR,MF,Lens,22-280,2000,0.3,0,1,0,0.0,3.75,0.00,0.00,,25.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,b5bb8188
344,Loïs Openda,be BEL,FW,Lens,22-241,2000,8.2,4,31,13,41.9,3.80,1.59,0.13,0.31,12.2,0,0,0,5.2,5.2,0.17,-1.2,-1.2,Matches,8652a85c
345,Dango Ouattara,bf BFA,FWMF,Lorient,20-246,2002,8.3,4,24,9,37.5,2.91,1.09,0.17,0.44,16.7,3,0,0,2.5,2.5,0.10,+1.5,+1.5,Matches,2f9e4435
346,Azzedine Ounahi,ma MAR,MFFW,Angers,22-179,2000,9.2,0,20,5,25.0,2.17,0.54,0.00,0.00,18.6,1,0,0,1.6,1.6,0.08,-1.6,-1.6,Matches,83299cc0
347,Adam Ounas,dz ALG,FW,Lille,25-338,1996,5.0,1,11,3,27.3,2.18,0.59,0.09,0.33,19.0,2,0,0,0.8,0.8,0.08,+0.2,+0.2,Matches,ed90babd
348,Nicolas Pallois,fr FRA,DF,Nantes,35-026,1987,9.6,0,3,1,33.3,0.31,0.10,0.00,0.00,15.2,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,779847d6
349,Erik Palmer-Brown,us USA,DF,Troyes,25-174,1997,9.4,0,3,1,33.3,0.32,0.11,0.00,0.00,12.8,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches,e5c1e0ca
350,Lucas Paquetá,br BRA,MF,Lyon,25-049,1997,1.8,0,5,1,20.0,2.83,0.57,0.00,0.00,15.2,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,9b6f7fd5
351,Leandro Paredes,ar ARG,MF,Paris S-G,28-108,1994,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,dff153a4
352,Dimitri Payet,fr FRA,MFFW,Marseille,35-200,1987,3.6,1,12,2,16.7,3.30,0.55,0.00,0.00,20.5,1,1,1,1.6,0.8,0.07,-0.6,-0.8,Matches,58ae47b2
353,Patrick Pentz,at AUT,GK,Reims,25-286,1997,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0810b6df
354,Nicolas Pépé,ci CIV,FWMF,Nice,27-139,1995,5.4,2,20,4,20.0,3.71,0.74,0.05,0.25,17.7,1,1,1,2.9,2.1,0.11,-0.9,-1.1,Matches,57e3f0c7
355,Brayann Pereira,fr FRA,DF,Auxerre,19-147,2003,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,5c42e7ce
356,Danilo Pereira,pt POR,DFMF,Paris S-G,31-036,1991,5.5,0,5,1,20.0,0.92,0.18,0.00,0.00,8.9,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches,8fd9996f
357,Mathias Pereira Lage,pt POR,FWMF,Brest,25-319,1996,7.1,0,8,2,25.0,1.13,0.28,0.00,0.00,16.5,0,0,0,0.6,0.6,0.07,-0.6,-0.6,Matches,8846a40f
358,Gaëtan Perrin,fr FRA,MFFW,Auxerre,26-130,1996,3.7,1,6,4,66.7,1.62,1.08,0.17,0.25,17.8,0,0,0,0.5,0.5,0.09,+0.5,+0.5,Matches,10dd88f9
359,Lucas Perrin,fr FRA,DF,Strasbourg,23-330,1998,4.2,0,1,1,100.0,0.24,0.24,0.00,0.00,5.8,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches,49070d66
360,Ronaël Pierre-Gabriel,fr FRA,DF,Strasbourg,24-124,1998,4.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,64ba07c0
361,Julien Ponceau,fr FRA,MF,Lorient,21-321,2000,4.1,0,5,1,20.0,1.21,0.24,0.00,0.00,17.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,e546b2e3
362,Łukasz Poręba,pl POL,MF,Lens,22-216,2000,2.2,0,3,0,0.0,1.34,0.00,0.00,,15.5,0,0,0,0.8,0.8,0.25,-0.8,-0.8,Matches,be98f358
363,Jackson Porozo,ec ECU,DF,Troyes,22-072,2000,6.6,1,11,5,45.5,1.66,0.75,0.09,0.20,12.1,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,7d704e92
364,Sanjin Prcić,ba BIH,MF,Strasbourg,28-329,1993,6.9,0,14,3,21.4,2.02,0.43,0.00,0.00,25.7,1,0,0,0.4,0.4,0.03,-0.4,-0.4,Matches,51c30111
365,Ghjuvanni Quilichini,fr FRA,GK,Ajaccio,20-044,2002,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,1b729a98
366,Adil Rami,fr FRA,DF,Troyes,36-292,1985,5.0,0,4,2,50.0,0.80,0.40,0.00,0.00,34.9,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,8dbff17c
367,Sergio Ramos,es ESP,DF,Paris S-G,36-199,1986,8.4,0,2,1,50.0,0.24,0.12,0.00,0.00,7.8,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,08511d65
368,Aaron Ramsey,wls WAL,MF,Nice,31-293,1990,3.5,1,5,3,60.0,1.44,0.86,0.20,0.33,12.8,1,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches,ef619b0b
369,Elba Rashani,xk KVX,FWMF,Clermont Foot,29-159,1993,4.4,1,4,3,75.0,0.91,0.68,0.25,0.33,11.2,0,0,0,1.1,1.1,0.26,-0.1,-0.1,Matches,25749008
370,Rafael Ratão,br BRA,FW,Toulouse,26-319,1995,4.8,3,8,5,62.5,1.68,1.05,0.38,0.60,11.1,0,0,0,2.1,2.1,0.26,+0.9,+0.9,Matches,40ef7347
371,Rayan Raveloson,mg MAD,MF,Auxerre,25-272,1997,3.1,0,4,0,0.0,1.29,0.00,0.00,,15.2,0,0,0,1.0,1.0,0.25,-1.0,-1.0,Matches,fb3236a7
372,Jeff Reine-Adélaïde,fr FRA,MF,Lyon,24-271,1998,1.9,0,6,5,83.3,3.18,2.65,0.00,0.00,20.3,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,d504b3e1
